"","ENSEMBL","SYMBOL","logFC","AveExpr","t","P.Value","adj.P.Val","B","z.std","Category"
"ENSG00000211895.4","ENSG00000211895.4","IGHA1",-0.769038864612971,-0.0131187407456932,-4.0120747186689,0.000248549500140084,0.0206296085116269,0.462993047645007,-3.6637498854609,"DOWN"
"ENSG00000237975.6","ENSG00000237975.6","FLG-AS1",-1.09077867954938,-1.09357190211001,-3.99915897026223,0.000252039659241896,0.02073334245737,0.437367628675829,-3.66017845007344,"DOWN"
"ENSG00000274425.1","ENSG00000274425.1","AC114271.2",-0.77218752601345,0.987549223918444,-3.99088772049399,0.000258260229942458,0.0210247886620681,0.447479480365441,-3.65392649658816,"DOWN"
"ENSG00000261396.1","ENSG00000261396.1","CTD-2012K14.2",-1.0367490634195,-0.359151192539779,-3.98842629929993,0.000258990319031365,0.0210247886620681,0.442227408675573,-3.65320200638478,"DOWN"
"ENSG00000161405.16","ENSG00000161405.16","IKZF3",-0.585177048667172,-0.3318721044646,-3.9917570872242,0.000266876523390203,0.0212914550492641,0.406249277250278,-3.64549604145436,"DOWN"
"ENSG00000179636.14","ENSG00000179636.14","TPPP2",-0.723088102780705,1.70896170576138,-3.97956609397959,0.000269055960685235,0.0213078087387926,0.412564964252406,-3.64340406633341,"DOWN"
"ENSG00000226025.9","ENSG00000226025.9","LGALS17A",-0.725504916279192,0.989327496543837,-3.97465752568269,0.000277797785037616,0.0215891441339979,0.359674969168081,-3.63516963119738,"DOWN"
"ENSG00000112033.13","ENSG00000112033.13","PPARD",-0.527737684878836,3.27684783928016,-3.94727661021312,0.0002888981962759,0.0220050070570808,0.349928341706742,-3.62505657872264,"DOWN"
"ENSG00000241322.10","ENSG00000241322.10","CDRT1",-0.806976514694968,-0.839007112683066,-3.97796578370056,0.000308641235332002,0.0224718512006024,0.37258982373061,-3.6079371443937,"DOWN"
"ENSG00000247049.2","ENSG00000247049.2","CTC-338M12.7",-0.795944260350137,-0.0825371063937209,-3.90787463377767,0.000317610059460012,0.0225504745908617,0.302129256983172,-3.6004965368108,"DOWN"
"ENSG00000167487.11","ENSG00000167487.11","KLHL26",-0.670976013046193,1.86146680712119,-3.84953375618843,0.000331230494637231,0.0229276994712403,0.173467823354668,-3.58956479450304,"DOWN"
"ENSG00000272636.3","ENSG00000272636.3","DOC2B",-0.741881933750124,1.22091104788469,-3.91081483240178,0.000332214026727199,0.0229276994712403,0.209789578118155,-3.58879178878323,"DOWN"
"ENSG00000189316.3","ENSG00000189316.3","RP11-797H7.5",-1.10316624447039,-0.0723099728116379,-3.93356067082333,0.000337313888972547,0.0229770298202187,0.253366566667938,-3.5848175798586,"DOWN"
"ENSG00000183691.4","ENSG00000183691.4","NOG",-1.28141167529646,-0.829723853253173,-3.84222169876016,0.000338964257899573,0.0229770298202187,0.15321277870003,-3.58354351911792,"DOWN"
