"","ENSEMBL","SYMBOL","logFC","AveExpr","t","P.Value","adj.P.Val","B","z.std","Category"
"ENSG00000270116.1","ENSG00000270116.1","AP001429.1",1.00748692696692,-0.705413485986059,4.31998579602518,0.000107164488025419,0.015026572036837,1.32444289042721,3.87377015614093,"UP"
"ENSG00000259627.1","ENSG00000259627.1","RP11-244F12.2",0.54991128850054,1.77176560537511,4.2686602700641,0.000113225958847241,0.015096631739945,1.17845270758534,3.86034734620438,"UP"
"ENSG00000187049.9","ENSG00000187049.9","TMEM216",1.22020387306733,-0.252910261872424,4.21726727404703,0.000130100266011005,0.0161612471382396,1.12412319952691,3.82626872209062,"UP"
"ENSG00000165169.10","ENSG00000165169.10","DYNLT3",0.5717544987318,1.9207406079502,4.19191966649783,0.000144519638575473,0.016511814755515,0.976347315736667,3.80030236774419,"UP"
"ENSG00000271789.1","ENSG00000271789.1","RP5-1112D6.7",0.556002159793862,0.947153261206954,4.17398208893378,0.000150150032093432,0.016843193600105,0.915677078696432,3.79082117824264,"UP"
"ENSG00000277998.1","ENSG00000277998.1","RP11-452N17.1",0.63059452194139,1.98099657859688,4.16328500837682,0.000158096930893394,0.0172130358465049,0.907919283618554,3.7779936157113,"UP"
"ENSG00000260816.2","ENSG00000260816.2","RP11-319G9.3",1.16062135684386,-0.166675203300516,4.0666901474084,0.000165453204413446,0.0173998486391391,0.799210218721363,3.76664922880952,"UP"
"ENSG00000231684.3","ENSG00000231684.3","EIF1P3",0.521343223460706,1.341316404363,4.13854579125432,0.000166483216072125,0.0174092533688077,0.833931525592446,3.7650988357459,"UP"
"ENSG00000151332.18","ENSG00000151332.18","MBIP",0.547226277495738,1.82294209708769,4.14325704778504,0.000173573309790442,0.017690571912701,0.825721223010729,3.75466523430009,"UP"
"ENSG00000106688.11","ENSG00000106688.11","SLC1A1",1.26967618257227,0.425641791355373,4.1295001142473,0.000175172084290236,0.0177172683504261,0.815935809763309,3.75236798131179,"UP"
"ENSG00000219881.1","ENSG00000219881.1","GAPDHP42",1.03373449436895,-0.574118556844356,4.11835487437589,0.000180810790074367,0.0178964006068794,0.761372471201273,3.74442025783742,"UP"
"ENSG00000136231.13","ENSG00000136231.13","IGF2BP3",0.820842568196011,0.175012534698044,4.10693511118352,0.00018589059097486,0.0183013241933707,0.735247872921436,3.73745737557376,"UP"
"ENSG00000162981.13","ENSG00000162981.13","FAM84A",0.952514496114489,-0.271795749828915,4.08433159538193,0.000193517907455428,0.0188340876031783,0.714270816059519,3.72733143101252,"UP"
"ENSG00000272627.1","ENSG00000272627.1","RP11-354E23.5",0.754946641789382,-0.27346651718767,4.10516196674905,0.000195339245229441,0.0188340876031783,0.722360222297627,3.72496897439857,"UP"
"ENSG00000234106.3","ENSG00000234106.3","RP11-288E14.2",1.12727624515522,-0.491831725634135,4.06091495597322,0.000226053031507577,0.0197359224536497,0.728009724121143,3.68796691780182,"UP"
"ENSG00000266469.1","ENSG00000266469.1","CTB-131K11.1",0.647736566426826,1.22766758180429,4.03279479527695,0.000235686198726846,0.0200106231753908,0.54615358070751,3.67733200273718,"UP"
"ENSG00000272599.2","ENSG00000272599.2","RP11-152N13.16",0.957046369459936,0.639626449032331,4.040820084354,0.000238462363803438,0.0200622722347174,0.54846888583867,3.67434284306471,"UP"
"ENSG00000279390.1","ENSG00000279390.1","AF127577.13",0.724402295542197,0.417140347224105,3.97386882336698,0.000293684366893492,0.0222778850279986,0.364480879481335,3.62080803259002,"UP"
"ENSG00000255883.1","ENSG00000255883.1","FUNDC2P1",0.505702206829919,2.25272977453254,3.94752425531543,0.000303388830557996,0.0224718512006024,0.319615554776687,3.61238913403158,"UP"
"ENSG00000212124.2","ENSG00000212124.2","TAS2R19",0.634768227117479,1.12890162244902,3.9470039572951,0.00030700806753559,0.0224718512006024,0.296517456919623,3.60931378413149,"UP"
"ENSG00000261098.1","ENSG00000261098.1","RP11-819C21.1",0.815235627656883,1.77017709504097,3.92227290146272,0.000327366649234468,0.0228650162667199,0.303722543477695,3.59262251949244,"UP"
"ENSG00000225767.1","ENSG00000225767.1","RP5-850O15.3",0.859532334012982,-0.567396832864409,3.92056714490858,0.000333219037104308,0.0229276994712403,0.222691826935117,3.58800411120903,"UP"
"ENSG00000188801.9","ENSG00000188801.9","ZNF322P1",0.51110085372338,1.10476239927238,3.91364346988291,0.000345831356826406,0.0231082764747291,0.206167210301585,3.578303781734,"UP"
"ENSG00000240429.1","ENSG00000240429.1","LRRFIP1P1",0.618637074103672,0.526683319934588,3.88662412264928,0.000357263461824523,0.0233660403353713,0.135038450161535,3.56979297220077,"UP"
"ENSG00000152455.15","ENSG00000152455.15","SUV39H2",0.546463578415683,1.54084328617229,3.87103472762292,0.000371425418268476,0.0234030327578877,0.0993662262361168,3.55959622874983,"UP"
"ENSG00000171970.12","ENSG00000171970.12","ZNF57",0.910478257795443,-0.849317877831946,3.86855663461142,0.000387753670330385,0.0234540283795591,0.073905656994742,3.54828142994309,"UP"
"ENSG00000059573.8","ENSG00000059573.8","ALDH18A1",0.620981387936922,1.40022524892788,3.84683544709365,0.000432104462817457,0.024254555983332,0.0869329342600107,3.51965745939667,"UP"
"ENSG00000233087.7","ENSG00000233087.7","WTH3DI",0.813750950424289,-0.494788110901911,3.82225275633625,0.000449044177109617,0.0247361865301247,-0.0446399202045331,3.50944425508968,"UP"
"ENSG00000224114.1","ENSG00000224114.1","RP11-343H5.4",0.636686562379011,-0.545002955881568,3.81556597584314,0.000457894636702262,0.0247460320267766,-0.0687033051740942,3.50425037097255,"UP"
"ENSG00000109466.13","ENSG00000109466.13","KLHL2",0.506028300924705,1.20859178575549,3.80793117518084,0.000461121755691079,0.0247460320267766,-0.0826578944080625,3.50237982089613,"UP"
"ENSG00000249626.1","ENSG00000249626.1","RP11-496H1.1",1.00665627602414,-0.35611191785509,3.81655243522869,0.000462413786535469,0.0247460320267766,-0.054572427643758,3.50163433727679,"UP"
"ENSG00000267394.1","ENSG00000267394.1","CTB-175E5.7",0.616374982545013,-0.581536881521696,3.74312454871097,0.000462532801458856,0.0247460320267766,-0.127887114672298,3.50156576513043,"UP"
"ENSG00000238622.1","ENSG00000238622.1","SNORD97",0.882912377826969,0.244609381631384,3.79657308486248,0.000462603573230981,0.0247460320267766,-0.111166970734296,3.50152499676911,"UP"
