"","ENSEMBL","SYMBOL","logFC","AveExpr","t","P.Value","adj.P.Val","B","z.std","Category"
"ENSG00000161671.16","ENSG00000161671.16","EMC10",-0.468373129895884,7.02001510485739,-4.66707304520455,3.0379173742907e-05,0.00853223481203946,2.33100621979431,-4.1706052265535,"p-value"
"ENSG00000137055.14","ENSG00000137055.14","PLAA",0.265281624449713,4.68527475186088,4.68661735589978,3.04245230749692e-05,0.00853223481203946,2.3947068511654,4.17026531120601,"p-value"
"ENSG00000212694.8","ENSG00000212694.8","LINC01089",-0.3768210677063,2.94425818095312,-4.65852361853191,3.27056577731993e-05,0.00890219146653156,2.29911573754694,-4.1537597407316,"p-value"
"ENSG00000178021.10","ENSG00000178021.10","TSPYL6",-0.447181098303072,1.97380174777472,-4.65832346831632,3.68498190039626e-05,0.00948929680383669,2.36837062892742,-4.12639246622773,"p-value"
"ENSG00000158169.12","ENSG00000158169.12","FANCC",-0.370663845902347,4.40321214400786,-4.61568413853304,3.74977528434183e-05,0.00948929680383669,2.1841929405151,-4.12238026472763,"p-value"
"ENSG00000149262.16","ENSG00000149262.16","INTS4",0.28361594785538,3.33881002407373,4.61568405991304,3.79387305356267e-05,0.00948929680383669,2.15542559248586,4.11968706631018,"p-value"
"ENSG00000161970.12","ENSG00000161970.12","RPL26",0.237161850985173,6.40469333930937,4.57360629753419,4.26883624916637e-05,0.0101898337437799,2.0356609022854,4.09242592885604,"p-value"
"ENSG00000176593.7","ENSG00000176593.7","CTD-2368P22.1",-0.477036835552756,1.91036939661618,-4.58159928531693,4.46255880751162e-05,0.0103101714451607,2.06095244457905,-4.0821260110524,"p-value"
"ENSG00000182899.14","ENSG00000182899.14","RPL35A",0.236907480534475,5.53463778250496,4.56190301191851,4.47737509715756e-05,0.0103101714451607,2.0031179245614,4.08135580934684,"p-value"
"ENSG00000249884.8","ENSG00000249884.8","RNF103-CHMP3",-0.294322654585886,4.31179854708236,-4.55435661827441,4.51198815202344e-05,0.0103101714451607,2.00387155980436,-4.0795658819224,"p-value"
"ENSG00000196152.10","ENSG00000196152.10","ZNF79",-0.484555363387903,1.87557376830562,-4.53206975723769,4.75339570700089e-05,0.0104362798846719,1.93128203399296,-4.06743256887743,"p-value"
"ENSG00000171385.9","ENSG00000171385.9","KCND3",-0.384573882453056,3.08065687089795,-4.5380093296426,4.76392605920112e-05,0.0104362798846719,1.9385951947684,-4.06691670778085,"p-value"
"ENSG00000275481.1","ENSG00000275481.1","RP11-474P2.6",0.499108571961745,2.5203981403175,4.54398968903792,4.806202409575e-05,0.0104362798846719,1.94895207662779,4.06485649779774,"p-value"
"ENSG00000116771.5","ENSG00000116771.5","AGMAT",-0.316756019112997,3.66334864193936,-4.53535153120133,4.91490019678972e-05,0.0104362798846719,1.92950481703308,-4.05963729508067,"p-value"
"ENSG00000124172.9","ENSG00000124172.9","ATP5E",0.363748317188384,4.90523399203349,4.52160904002481,4.91589777631506e-05,0.0104362798846719,1.94099770656358,4.05958990423665,"p-value"
"ENSG00000154813.9","ENSG00000154813.9","DPH3",0.439299649509247,3.68443699134137,4.50143007575084,4.95628881466693e-05,0.0104362798846719,1.99592096342192,4.05767871116468,"p-value"
"ENSG00000156976.16","ENSG00000156976.16","EIF4A2",0.217428534658152,7.5678628411236,4.51283634123756,5.04565103550128e-05,0.0104362798846719,1.87258445872662,4.05350226878465,"p-value"
"ENSG00000235174.1","ENSG00000235174.1","RPL39P3",0.369562234758894,4.90611187537674,4.49163198936742,5.08412701538769e-05,0.0104362798846719,1.95226950374664,4.05172560404398,"p-value"
"ENSG00000204138.12","ENSG00000204138.12","PHACTR4",0.208021599870993,4.07669938479228,4.52058268455505,5.10858214750432e-05,0.0104362798846719,1.88762646107995,4.05060297731872,"p-value"
